tag	year	Title	Website	Status	motivation	type	shift locus	data shift	shift source	task	Annotator 1	Annotator 2	Notes															
he2018time	2018	Time-evolving Text Classification with Deep Neural Networks	https://doi.org/10.24963/ijcai.2018/310	Done	practical	across domain	train-test	covariate	naturally occurring shifts	text classification	Dieuwke	Dennis	Dieuwke: Locus should be double checked															
freitag2016fast	2016	Fast Domain Adaptation for Neural Machine Translation	https://arxiv.org/pdf/1612.06897.pdf	Done	practical	across domain	pretrain-train	covariate	naturally occurring shifts	machine translation	Dieuwke	Florian	Domain adaptation in NMT, model is adapted (==finetune) on OOD data															
dixon2018measuring	2018	Measuring and Mitigating Unintended Bias in Text Classification	https://doi.org/10.1145/3278721.3278729	Done	fairness	robustness	train-test	covariate	naturally occurring shifts	toxicity classification	Dieuwke	Dennis																
dixon2018measuring	2018	Measuring and Mitigating Unintended Bias in Text Classification	https://doi.org/10.1145/3278721.3278729	Done	fairness	robustness	train-test	covariate	generated shifts	toxicity classification	Dieuwke	Dennis																
borkan2019unintended	2019	Nuanced Metrics for Measuring Unintended Bias with Real Data for Text Classification	https://doi.org/10.1145/3308560.3317593	Done	fairness	robustness	train-test	covariate	generated shifts	toxicity classification	Dieuwke	Huygaa																
raffel2020t5	2020	Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer	http://jmlr.org/papers/v21/20-074.html	Done	practical	across task	pretrain-train	assumed	naturally occurring shifts	multitask	Dieuwke	Dennis																
aribandi2022ext5	2022	ExT5: Towards Extreme Multi-Task Scaling for Transfer Learning	https://openreview.net/forum?id=Vzh1BFUCiIX	Done	practical	across task	finetune-train/test	label	naturally occurring shifts	multitask	Dieuwke	Karim	Experiment in 2.1: finetune a model on a subsec of tasks, then test on other tasks (to evaluate transfer)															
aribandi2022ext5	2022	ExT5: Towards Extreme Multi-Task Scaling for Transfer Learning	https://openreview.net/forum?id=Vzh1BFUCiIX	Done	practical	across task	pretrain-train	label	naturally occurring shifts	multitask	Dieuwke	Karim	Experiment in 2.2: pretrain on subset of ExMIX, finetune and test on SuperGLUE. Since there is a comparison of inclusion of different tasks in pretraining, but not in finetuning, this entry is marked label shift between pretrain and finetune.															
aribandi2022ext5	2022	ExT5: Towards Extreme Multi-Task Scaling for Transfer Learning	https://openreview.net/forum?id=Vzh1BFUCiIX	Done	practical	across task	pretrain-train	label	naturally occurring shifts	multitask	Dieuwke	Karim	Experiment in 2.3: similar setup, but they compare "pre-finetuning" vs pre-training. Because none of this is on the final stage, we consider this a comparison of different pretraining procedures.															
aribandi2022ext5	2022	ExT5: Towards Extreme Multi-Task Scaling for Transfer Learning	https://openreview.net/forum?id=Vzh1BFUCiIX	Done	practical	across task	pretrain-train	label	naturally occurring shifts	multitask	Dieuwke	Karim	Experiment in 2.5: scaling experiments with adding more tasks in pretraining															
